y_sym,X_sym,period,start_date,end_date,beta,r2
RIVN,NQ,morning,20251201,20260110,0.249139976840839,0.0015664643520717
RIVN,NQ,day,20251201,20260110,1.4368661106999008,0.0783381570956746
RIVN,NQ,night,20251201,20260110,0.6320078351208254,0.0065269501224251
RIVN,BTC,morning,20251201,20260110,0.0786821375453653,0.0013589387588951
RIVN,BTC,day,20251201,20260110,0.394963097159623,0.0371500494809479
RIVN,BTC,night,20251201,20260110,0.0827228776252389,0.0013861317169887
TSM,NQ,morning,20251221,20260120,0.7948800772303942,0.0398648547530186
TSM,NQ,day,20251221,20260120,1.1713444000644344,0.25893515211516
TSM,NQ,night,20251221,20260120,0.1813702456036088,0.0026684292954194
USAR,NQ,morning,20251221,20260120,0.1301140868619489,0.0001148698487865
USAR,NQ,day,20251221,20260120,1.9319254852009893,0.0470323831200145
USAR,NQ,night,20251221,20260120,0.2047003731928243,0.0002511686194426
TSM,BTC,morning,20251221,20260120,0.1090078025911209,0.0036928257683909
TSM,BTC,day,20251221,20260120,0.2018619301524601,0.0413417130300082
TSM,BTC,night,20251221,20260120,-0.0169707225695637,0.0002830958643109
USAR,BTC,morning,20251221,20260120,-0.331717914474774,0.0037218743103668
USAR,BTC,day,20251221,20260120,0.6979712590472752,0.0356797001140744
USAR,BTC,night,20251221,20260120,0.0074141598151335,4.188440876795596e-06
URNM,BTC,morning,20251221,20260120,-0.0810812780040267,0.0003015080436228
URNM,BTC,day,20251221,20260120,0.2676237844477577,0.0233196106103578
URNM,BTC,night,20251221,20260120,2.5996648898591257,0.4613898626013057
URNM,NQ,morning,20251221,20260120,-0.4103958612595748,0.001893858141773
URNM,NQ,day,20251221,20260120,0.8015222355462652,0.0430112850574471
URNM,NQ,night,20251221,20260120,3.066352170358808,0.0304158273202563
EWY,NQ,morning,20251221,20260120,0.3348222852632503,0.0078520020497742
EWY,NQ,day,20251221,20260120,0.793825192772634,0.4920827485494827
EWY,NQ,night,20251221,20260120,1.4216174700560813,0.0054104592966701
EWY,BTC,morning,20251221,20260120,0.1870380253730915,0.0152212343952096
EWY,BTC,day,20251221,20260120,0.1600405022298099,0.1084735831582202
EWY,BTC,night,20251221,20260120,-0.2935374024644842,0.0191612273539836
EWJ,NQ,morning,20251221,20260120,0.7979890535151848,0.0784921104216623
EWJ,NQ,day,20251221,20260120,0.3589960176375074,0.3411236233719115
EWJ,NQ,night,20251221,20260120,4.104405013506717,0.195947216123543
EWJ,BTC,morning,20251221,20260120,0.1570933521514612,0.0122587444580818
EWJ,BTC,day,20251221,20260120,0.0817367898558617,0.097129189056321
EWJ,BTC,night,20251221,20260120,0.6667560228369189,0.2269381309542991
BIRD,BTC,morning,20260221,20260320,0.0,
BIRD,BTC,day,20260221,20260320,0.0081043447213577,5.215468149466496e-06
BIRD,BTC,night,20260221,20260320,-0.0,1.0
BIRD,NQ,morning,20260221,20260320,0.0,
BIRD,NQ,day,20260221,20260320,0.5778056638885962,0.0063666035852041
BIRD,NQ,night,20260221,20260320,0.0,
