variant,max_pos,max_back_levels,rung_spacing_mult,place_thresh,pred_momentum_coef,curv_impulse_coef,premium_ema_coef,premium_tdc_s,per_order_widen_frac,avg_pnl,avg_closed_pnl,avg_comm,sharpe,num_trds,sim_score
164,8,10,2,5e-05,0,0.5,0.2,30,1,2590.89,2661.72,70.83,0.89,880,4652.66
165,10,10,2,5e-05,0,0.5,0.2,30,1,2599.21,2670.54,71.33,0.81,888,4303.04
166,16,10,2,5e-05,0,0.5,0.2,30,1,2628.90,2700.49,71.60,0.81,895,3881.18
167,24,10,2,5e-05,0,0.5,0.2,30,1,2605.39,2676.89,71.50,0.82,894,4577.13
168,8,3,4,5e-05,0,0.5,0.2,30,1,2305.17,2368.79,63.62,0.78,790,2980.68
169,10,3,4,5e-05,0,0.5,0.2,30,1,2312.92,2376.30,63.38,0.76,792,3213.52
170,16,3,4,5e-05,0,0.5,0.2,30,1,2211.81,2275.31,63.49,0.71,798,2740.92
171,24,3,4,5e-05,0,0.5,0.2,30,1,2281.73,2345.39,63.66,0.72,797,2797.95
172,8,6,4,5e-05,0,0.5,0.2,30,1,2371.60,2437.37,65.77,0.83,821,3378.63
173,10,6,4,5e-05,0,0.5,0.2,30,1,2375.13,2441.27,66.14,0.79,821,3040.34
174,16,6,4,5e-05,0,0.5,0.2,30,1,2418.03,2484.07,66.04,0.77,822,3837.42
175,24,6,4,5e-05,0,0.5,0.2,30,1,2325.31,2391.67,66.36,0.75,824,3052.46
176,8,10,4,5e-05,0,0.5,0.2,30,1,2407.99,2474.01,66.01,0.85,823,3404.69
177,10,10,4,5e-05,0,0.5,0.2,30,1,2420.69,2486.86,66.16,0.77,820,3026.17
178,16,10,4,5e-05,0,0.5,0.2,30,1,2390.57,2456.86,66.28,0.74,823,3091.71
179,24,10,4,5e-05,0,0.5,0.2,30,1,2348.81,2415.14,66.33,0.74,827,3117.25
180,8,3,1,0.0001,0,0.5,0.2,30,1,2134.13,2180.08,45.95,0.94,582,4525.06
181,10,3,1,0.0001,0,0.5,0.2,30,1,2175.90,2222.10,46.21,0.99,582,4144.56
182,16,3,1,0.0001,0,0.5,0.2,30,1,2084.46,2130.72,46.26,0.97,586,3916.92
183,24,3,1,0.0001,0,0.5,0.2,30,1,2186.75,2233.06,46.30,0.97,587,4144.49
184,8,6,1,0.0001,0,0.5,0.2,30,1,2292.94,2342.19,49.26,0.96,621,4574.41
185,10,6,1,0.0001,0,0.5,0.2,30,1,2307.53,2357.15,49.62,0.95,624,4587.39
186,16,6,1,0.0001,0,0.5,0.2,30,1,2270.65,2320.15,49.50,0.94,629,4568.95
