variant  place_thresh  max_pos  max_back_levels  cross_thresh  cross_limit_maxpos_frac  cancel_buffer  premium_ema_coef  pred_momentum_coef  curv_impulse_coef  per_order_widen_frac  avg_pnl  avg_closed_pnl  avg_comm  sharpe  num_trds  sim_score
12       0.00025       400      4                0.0045        0.1                      0.1            0                 0                   0                  0.35                  3113.41  3141.79         28.38     3.69    823       9046.28
237      0.0003        400      7                0.0015        0.2                      0.1            0                 0                   0                  0.5                   3684.42  3735.67         51.26     1.74    950       9073.53
198      0.00025       400      4                0.0015        0.4                      0.1            0.8               0                   0                  0.35                  3549.31  3612.50         63.19     1.67    1169      9074.94
399      0.0003        400      7                0.0015        0.2                      0.1            0.8               0                   0                  0.5                   3831.65  3883.00         51.35     1.84    947       9135.51
210      0.00025       400      4                0.0045        0.4                      0.1            0.8               0                   0                  0.35                  3122.85  3151.52         28.67     3.48    827       9157.14
28       0.00025       400      10               0.003         0.2                      0.1            0                 0                   0                  0.35                  3240.23  3270.36         30.13     2.73    832       9166.09
246      0.00025       400      4                0.0045        0.2                      0.1            0                 0                   0                  0.5                   2997.74  3024.92         27.17     2.96    790       9167.03
235      0.0003        400      4                0.0015        0.2                      0.1            0                 0                   0                  0.5                   3448.75  3499.81         51.06     2.03    944       9195.33
66       0.00025       400      4                0.0045        0.1                      0.1            0.2               0                   0                  0.35                  3242.73  3270.95         28.22     3.53    818       9203.35
341      0.0003        400      10               0.0045        0.1                      0.1            0.5               0                   0                  0.5                   3460.97  3484.46         23.48     2.71    674       9206.93
172      0.00025       400      10               0.003         0.1                      0.1            0.8               0                   0                  0.35                  3323.95  3354.30         30.34     2.50    834       9210.63
160      0.00025       400      10               0.0045        0.4                      0.1            0.5               0                   0                  0.35                  3579.23  3608.11         28.88     3.69    819       9225.12
67       0.0003        400      4                0.0045        0.1                      0.1            0.2               0                   0                  0.35                  2932.76  2957.41         24.65     4.56    698       9241.16
140      0.00025       400      7                0.0045        0.2                      0.1            0.5               0                   0                  0.35                  3360.90  3389.66         28.75     3.99    826       9242.43
233      0.0003        400      10               0.0045        0.1                      0.1            0                 0                   0                  0.5                   3534.94  3558.61         23.68     2.24    674       9257.06
