variant,place_thresh,cancel_buffer,max_pos,max_back_levels,order_decrease_coef,cross_thresh,cross_limit_maxpos_frac,premium_ema_coef,pred_momentum_coef,curv_impulse_coef,per_order_widen_frac,avg_pnl,avg_closed_pnl,avg_comm,sharpe,num_trds,sim_score
166,0.00025,0.1,80,8,0.7,0.0015,0.4,0,0,0,0.25,827.51,846.87,19.36,1.74,717,1983.61
167,0.0003,0.1,80,8,0.7,0.0015,0.4,0,0,0,0.25,763.31,782.23,18.92,1.73,674,1731.54
168,0.000175,0.1,80,4,0.2,0.003,0.4,0,0,0,0.25,530.45,540.51,10.06,1.26,607,1106.21
169,0.000225,0.1,80,4,0.2,0.003,0.4,0,0,0,0.25,490.28,499.51,9.23,1.36,544,940.95
170,0.00025,0.1,80,4,0.2,0.003,0.4,0,0,0,0.25,467.46,476.05,8.59,1.19,511,920.18
171,0.0003,0.1,80,4,0.2,0.003,0.4,0,0,0,0.25,490.01,497.88,7.87,1.37,463,957.39
172,0.000175,0.1,80,8,0.2,0.003,0.4,0,0,0,0.25,543.12,553.23,10.11,1.44,603,1071.16
173,0.000225,0.1,80,8,0.2,0.003,0.4,0,0,0,0.25,516.56,525.72,9.16,1.41,544,1051.85
174,0.00025,0.1,80,8,0.2,0.003,0.4,0,0,0,0.25,570.34,579.07,8.73,1.31,513,1111.64
175,0.0003,0.1,80,8,0.2,0.003,0.4,0,0,0,0.25,493.55,501.22,7.66,1.43,459,1055.29
176,0.000175,0.1,80,4,0.5,0.003,0.4,0,0,0,0.25,489.72,500.30,10.59,1.27,637,957.69
177,0.000225,0.1,80,4,0.5,0.003,0.4,0,0,0,0.25,542.91,552.30,9.39,1.36,560,1072.02
178,0.00025,0.1,80,4,0.5,0.003,0.4,0,0,0,0.25,482.78,491.72,8.93,1.27,535,961.51
179,0.0003,0.1,80,4,0.5,0.003,0.4,0,0,0,0.25,525.21,533.46,8.26,1.36,490,1013.56
180,0.000175,0.1,80,8,0.5,0.003,0.4,0,0,0,0.25,550.15,560.61,10.46,1.52,628,1171.06
181,0.000225,0.1,80,8,0.5,0.003,0.4,0,0,0,0.25,543.54,553.01,9.47,1.51,564,1104.03
182,0.00025,0.1,80,8,0.5,0.003,0.4,0,0,0,0.25,520.43,529.42,8.99,1.15,537,943.11
183,0.0003,0.1,80,8,0.5,0.003,0.4,0,0,0,0.25,548.45,556.28,7.83,1.43,476,1021.45
184,0.000175,0.1,80,4,0.7,0.003,0.4,0,0,0,0.25,578.79,589.50,10.71,1.28,644,1173.19
185,0.000225,0.1,80,4,0.7,0.003,0.4,0,0,0,0.25,549.69,559.44,9.75,1.37,585,1102.27
186,0.00025,0.1,80,4,0.7,0.003,0.4,0,0,0,0.25,496.27,505.55,9.27,1.21,557,899.45
187,0.0003,0.1,80,4,0.7,0.003,0.4,0,0,0,0.25,534.18,542.80,8.62,1.51,517,978.62
188,0.000175,0.1,80,8,0.7,0.003,0.4,0,0,0,0.25,592.77,603.52,10.75,1.58,645,1162.13
189,0.000225,0.1,80,8,0.7,0.003,0.4,0,0,0,0.25,522.94,532.65,9.71,1.28,581,946.76
190,0.00025,0.1,80,8,0.7,0.003,0.4,0,0,0,0.25,534.57,543.90,9.33,1.43,559,1021.92
191,0.0003,0.1,80,8,0.7,0.003,0.4,0,0,0,0.25,521.85,530.26,8.40,1.39,508,1074.59
192,0.000175,0.1,80,4,0.2,0.0045,0.4,0,0,0,0.25,493.49,503.11,9.62,1.25,606,1012.50
193,0.000225,0.1,80,4,0.2,0.0045,0.4,0,0,0,0.25,436.95,445.44,8.50,0.94,525,606.58
194,0.00025,0.1,80,4,0.2,0.0045,0.4,0,0,0,0.25,458.84,466.88,8.04,1.14,506,903.83
195,0.0003,0.1,80,4,0.2,0.0045,0.4,0,0,0,0.25,436.42,443.73,7.31,1.26,455,936.95
196,0.000175,0.1,80,8,0.2,0.0045,0.4,0,0,0,0.25,526.36,535.85,9.49,1.36,589,1001.63
197,0.000225,0.1,80,8,0.2,0.0045,0.4,0,0,0,0.25,475.74,484.33,8.59,1.24,530,959.07
198,0.00025,0.1,80,8,0.2,0.0045,0.4,0,0,0,0.25,457.11,465.22,8.12,1.11,503,816.62
199,0.0003,0.1,80,8,0.2,0.0045,0.4,0,0,0,0.25,494.42,501.55,7.13,1.42,447,910.76
200,0.000175,0.1,80,4,0.5,0.0045,0.4,0,0,0,0.25,514.35,524.44,10.09,1.33,628,1085.16
201,0.000225,0.1,80,4,0.5,0.0045,0.4,0,0,0,0.25,492.23,501.06,8.83,1.20,549,914.30
202,0.00025,0.1,80,4,0.5,0.0045,0.4,0,0,0,0.25,460.18,468.77,8.59,1.25,537,896.59
203,0.0003,0.1,80,4,0.5,0.0045,0.4,0,0,0,0.25,464.36,472.12,7.75,1.23,487,907.55
204,0.000175,0.1,80,8,0.5,0.0045,0.4,0,0,0,0.25,534.81,544.80,9.99,1.37,623,1049.84
205,0.000225,0.1,80,8,0.5,0.0045,0.4,0,0,0,0.25,534.74,543.67,8.93,1.30,559,995.89
206,0.00025,0.1,80,8,0.5,0.0045,0.4,0,0,0,0.25,325.69,333.36,7.67,1.04,472,694.65
207,0.0003,0.1,80,8,0.5,0.0045,0.4,0,0,0,0.25,494.43,502.06,7.64,1.18,485,894.80
