variant,place_thresh,cancel_buffer,front_rung_spacing_mult,max_pos,pred_momentum_coef,premium_ema_coef,per_order_widen_frac,avg_pnl,avg_closed_pnl,avg_comm,sharpe,num_trds,sim_score
252,0.00025,0.1,0.25,80,0.5,0.8,0.1,415.74,421.29,5.55,0.97,333,745.13
253,0.0003,0.1,0.25,80,0.5,0.8,0.1,245.52,250.40,4.88,0.72,296,227.12
254,0.0005,0.1,0.25,80,0.5,0.8,0.1,78.46,81.43,2.97,0.25,173,13.95
255,0.00025,0.1,1,80,0.5,0.8,0.1,199.13,203.63,4.50,0.59,261,68.75
256,0.0003,0.1,1,80,0.5,0.8,0.1,167.17,170.83,3.66,0.64,215,192.81
257,0.0005,0.1,1,80,0.5,0.8,0.1,77.85,80.16,2.31,0.29,113,50.39
258,0.00025,0.1,0.25,100,0.5,0.8,0.1,281.04,286.58,5.54,0.66,340,232.69
259,0.0003,0.1,0.25,100,0.5,0.8,0.1,241.44,246.47,5.03,0.55,302,154.36
260,0.0005,0.1,0.25,100,0.5,0.8,0.1,81.92,84.92,3.00,0.19,173,10.51
261,0.00025,0.1,1,100,0.5,0.8,0.1,141.25,145.86,4.61,0.33,268,-58.87
262,0.0003,0.1,1,100,0.5,0.8,0.1,87.41,91.22,3.81,0.25,222,-26.76
263,0.0005,0.1,1,100,0.5,0.8,0.1,-34.04,-31.74,2.30,-0.09,119,-86.85
264,0.00025,0.1,0.25,140,0.5,0.8,0.1,81.47,87.11,5.64,0.12,343,60.00
265,0.0003,0.1,0.25,140,0.5,0.8,0.1,74.88,80.00,5.12,0.12,309,5.00
266,0.0005,0.1,0.25,140,0.5,0.8,0.1,-70.76,-67.70,3.06,-0.11,180,119.84
267,0.00025,0.1,1,140,0.5,0.8,0.1,-32.13,-27.50,4.63,-0.05,275,-23.44
268,0.0003,0.1,1,140,0.5,0.8,0.1,-148.66,-144.88,3.78,-0.23,216,-84.18
269,0.0005,0.1,1,140,0.5,0.8,0.1,-74.75,-72.44,2.31,-0.15,120,-22.07
